date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:45	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Sep%202022%2021:50:45%20GMT	http://localhost/robots.txt		(from )
16:50:51	224769/224769	---MC-	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:45%20GMT	http://localhost/gietc/	C:/Users/Usuario/Documents/project1/localhost/gietc/index.html	(from )
16:50:52	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:51%20GMT	https://gmpg.org/xfn/11	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/11.html	(from http://localhost/gietc/)
16:50:52	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from http://localhost/gietc/)
16:50:52	2067/2067	---M-Z	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680-gzip%22	https://gmpg.org/xfn/default.css	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/default.css	(from https://gmpg.org/xfn/11)
16:50:53	4170/4170	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:52%20GMT	https://gmpg.org/xfn/.	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/.html	(from https://gmpg.org/xfn/11)
16:50:53	16269/16269	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:52%20GMT	https://gmpg.org/xfn/intro	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
16:50:53	7342/7342	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:52%20GMT	https://gmpg.org/xfn/faq	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/faq.html	(from https://gmpg.org/xfn/11)
16:50:53	3789/3789	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:52%20GMT	https://gmpg.org/xfn/thanks	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/thanks.html	(from https://gmpg.org/xfn/11)
16:50:54	8271/8271	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:53%20GMT	https://gmpg.org/xfn/join	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/join.html	(from https://gmpg.org/xfn/.)
16:50:54	4169/4169	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:53%20GMT	https://gmpg.org/xfn/	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/index.html	(from https://gmpg.org/xfn/.)
16:50:54	22236/22236	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:53%20GMT	https://gmpg.org/xfn/background	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/background.html	(from https://gmpg.org/xfn/.)
16:50:55	8796/8796	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:54%20GMT	https://gmpg.org/xfn/tools	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/tools.html	(from https://gmpg.org/xfn/.)
16:50:55	3977/3977	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:54%20GMT	https://gmpg.org/xfn/helping	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/helping.html	(from https://gmpg.org/xfn/.)
16:50:55	2590/2590	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:54%20GMT	https://gmpg.org/xfn/feedback	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/feedback.html	(from https://gmpg.org/xfn/.)
16:50:55	8721/8721	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:54%20GMT	https://gmpg.org/xfn/creator	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/creator.html	(from https://gmpg.org/xfn/.)
16:50:56	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Sep%202022%2021:50:55%20GMT	https://gmpg.org/xfn/and	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/and	(from https://gmpg.org/xfn/.)
16:50:56	11564/11564	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:55%20GMT	https://gmpg.org/xfn/and/	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/and/index.html	(from https://gmpg.org/xfn/.)
16:50:56	16572/16572	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:55%20GMT	https://gmpg.org/xfn/more	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/more.html	(from https://gmpg.org/xfn/.)
16:50:56	4251/4251	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:56%20GMT	https://gmpg.org/xfn/press	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/press.html	(from https://gmpg.org/xfn/.)
16:50:57	4170/4170	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:56%20GMT	https://gmpg.org/xfn/index	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/index-2.html	(from https://gmpg.org/xfn/.)
16:50:57	1619/1619	---M--	200	added ('OK')	image/gif	etag:%227f56515-653-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-met.gif	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/pix/intro/five-met.gif	(from https://gmpg.org/xfn/intro)
16:50:57	1612/1612	---M--	200	added ('OK')	image/gif	etag:%227f56512-64c-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-acqfr.gif	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/pix/intro/five-acqfr.gif	(from https://gmpg.org/xfn/intro)
16:50:57	1391/1391	---M--	200	added ('OK')	image/gif	etag:%227f56517-56f-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-prof.gif	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/pix/intro/five-prof.gif	(from https://gmpg.org/xfn/intro)
16:50:58	1187/1187	---M--	200	added ('OK')	image/gif	etag:%227f56513-4a3-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-lovefam.gif	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/pix/intro/five-lovefam.gif	(from https://gmpg.org/xfn/intro)
16:50:58	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Sep%202022%2021:50:57%20GMT	https://gmpg.org/xfn/and	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/and	(from https://gmpg.org/xfn/)
16:50:58	5209/5209	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:57%20GMT	https://gmpg.org/xfn/1	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/1.html	(from https://gmpg.org/xfn/join)
16:50:59	250/250	---M--	200	added ('OK')	image/gif	etag:%2264e1836a-fa-3ef0a663b3680%22	https://gmpg.org/xfn/xfn-btn.gif	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/xfn-btn.gif	(from https://gmpg.org/xfn/join)
16:50:59	9010/9010	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:58%20GMT	https://gmpg.org/xfn/creator-fr	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/creator-fr.html	(from https://gmpg.org/xfn/tools)
16:50:59	8836/8836	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:58%20GMT	https://gmpg.org/xfn/creator-it	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/creator-it.html	(from https://gmpg.org/xfn/tools)
16:50:59	8744/8744	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:58%20GMT	https://gmpg.org/xfn/creator-es	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/creator-es.html	(from https://gmpg.org/xfn/tools)
16:51:00	8885/8885	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2021:50:59%20GMT	https://gmpg.org/xfn/creator-nl	C:/Users/Usuario/Documents/project1/gmpg.org/xfn/creator-nl.html	(from https://gmpg.org/xfn/tools)
